arcade_addr,rom_addr,role,window,operation_type,execution_class,evidence,safe_to_nop_after_replacement,safe_to_nop_reason,replacement_target,source_origin,patch_status,priority,confidence,notes
0x03A55C,0x03A75C,Direct C-window write: MOVE.B #0x20 to 0xC09EA3 (PC080SN register write),C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → 0x03A55C (follows 0x03A552 probe path).,YES,Already NOPped. PC080SN register not needed on Genesis.,none,other,already_patched,not_needed,High,"NOP'd. 0xC09EA3 is a PC080SN control register, not nametable. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03A6B2,0x03A8B2,Callsite 1: JSR 0x55DDC — sprite processing helper called from title state machine,D,copy,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine 0x03A6xx path → JSR 0x55DDC. Leads to ADDRESS ERROR at 0x055D0A/0x055F0A path.,YES,NOPped in Build 141. Routine 0x55DDC causes ADDRESS ERROR on Genesis; not needed since sprite rendering is handled by render_frontend_sprite_layer().,VDP SAT,workram,already_patched,not_needed,High,NOP'd Build 141. Destination routine 0x55DDC unstable on Genesis. Sprites handled by direct VDP path in render_frontend_sprite_layer().
0x03A6FE,0x03A8FE,Direct C-window write: MOVE.W #0x2744 to 0xC08E7A + BRA (PC080SN sprite attr),C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine conditional branch → 0x03A6FE.,YES,Already NOPped. PC080SN internal sprite attribute area; no direct Genesis equivalent.,none,other,already_patched,not_needed,High,"NOP'd. 0xC08E7A is PC080SN sprite attribute RAM, not nametable or SAT data needed for Genesis. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03A708,0x03A908,Direct C-window write: MOVE.W #0x2744 to 0xC08E66 (PC080SN sprite attr alt path),C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → 0x03A708 (alternate path from 0x03A6FE).,YES,Already NOPped.,none,other,already_patched,not_needed,High,"NOP'd. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03A72A,0x03A92A,Direct C-window write: MOVE.W D0 to 0xC08C62 (PC080SN sprite data),C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → 0x03A72A.,YES,Already NOPped. PC080SN internal sprite RAM.,none,workram,already_patched,not_needed,High,"NOP'd. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03A818,0x03AA18,Active callsite: JSR 0x45DFA from frontend state path (sprite writer variant entry).,D,control/state,active_conditional_frontend,genesistan_run_original_frontend_tick -> 0x03A008 state machine -> 0x03A7FA branch -> JSR 0x45DFA at 0x03A818.,NO,Callsite is part of live frontend sprite sequencing; remove only after equivalent SAT path confirmed.,VDP SAT,workram,unpatched,required_now_frontend,High,Build 142 repair add: missing active D-window helper callsite coverage.
0x03A854,0x03AA54,Active callsite: BSR 0x41F5E from frontend state path (descriptor copy entry).,D,staging,active_conditional_frontend,genesistan_run_original_frontend_tick -> 0x03A008 state machine -> 0x03A832 path -> BSR 0x41F5E at 0x03A854.,NO,Part of live frontend sprite descriptor staging sequence.,VDP SAT,workram,partially_patched,required_now_frontend,High,Build 142 repair add: callsite remains active while callee entry is RTS-patched in current build.
0x03A860,0x03AA60,Callsite 2: JSR 0x55DDC — sprite processing helper (continuation path),D,copy,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine continuation path → JSR 0x55DDC.,YES,NOPped in Build 141. Same reason as 0x03A6B2.,VDP SAT,workram,already_patched,not_needed,High,NOP'd Build 141. Sprite rendering handled by render_frontend_sprite_layer().
0x03AAEA,0x03ACEA,Direct C-window write: MOVE.W #0x2749 to 0xC09172 (PC080SN sprite config),C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → 0x03AAEA.,YES,Already NOPped. PC080SN internal register.,none,other,already_patched,not_needed,High,"NOP'd. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03ABBA,0x03ADBA,"Scroll clear: CLR.L 0xC20000 (Y-scroll register layer 0 — read-modify-write, crashes Genesis)",C,scroll,active_every_frame_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frame dispatch area 0x03B098 → BSR path → 0x03ABBA (VBlank/frame init).,YES,Already NOPped. CLR.L is read-modify-write on 68000; read phase crashes Genesis. Scroll handled by sync_arcade_scroll_to_vdp() post-tick.,VDP scroll write,register mirror,already_patched,not_needed,High,NOP'd. This was zeroing the scroll each frame. VDP scroll is now managed by sync_arcade_scroll_to_vdp().
0x03ABC0,0x03ADC0,Scroll clear: CLR.L 0xC40000 (X-scroll register layer 0 — same crash hazard),C,scroll,active_every_frame_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frame dispatch → 0x03ABC0 (paired with 0x03ABBA).,YES,Already NOPped.,VDP scroll write,register mirror,already_patched,not_needed,High,NOP'd.
0x03AC54,0x03AE54,Read probe bypass: CMPI.B #0x43 to 0xC09E87 + BNE (PC080SN register read),C,control/state,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → 0x03AC54.,YES,Bypassed; BRA forced to skip. C-window read crashes BlastEm.,none,register mirror,already_patched,not_needed,High,"Opcode replaced to BRA past probe. 0xC09E87 is PC080SN status register. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03AD3C,0x03AF3C,Init: word fill loop — clears C-window pages 1 and 3 with 0x0000,C,copy,init_only,"genesistan_run_original_frontend_tick() [startup_trampoline.s] ← startup_common calls init routines before JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine. Called from 0x3AF5E and 0x3AF6E (init path, not frame loop).",YES,Already NOPped. VDP nametable cleared separately by SGDK at startup.,VDP nametable write,other,already_patched,not_needed,High,NOP'd. Init-only fill loop targeting odd pages of C-window.
0x03AD44,0x03AF44,"Init: longword fill loop — clears C-window pages (from 0x3AE70, 0x3AE80, 0x3AF38, 0x3AF48)",C,copy,init_only,"Called from 0x3AE70, 0x3AE80, 0x3AF38, 0x3AF48 — all init paths before frontend tick entry.",YES,Already NOPped.,VDP nametable write,other,already_patched,not_needed,High,NOP'd. Init fill loop.
0x03AD50,0x03AF50,D-window init: clear 0x100 longwords from 0xD00000 (remapped to shadow via startup_common rule),D,copy,init_only,In startup init sequence. window_rewrite_rule for startup_common maps D00000-D04000 → genesistan_shadow_d00000_words.,NO,Writes go to genesistan_shadow_d00000_words via window rewrite. Shadow needs initial clear for sprite rendering to work correctly.,VDP SAT,other,already_patched,not_needed,High,Remapped to shadow via window_rewrite_rule. Shadow used as intermediate storage for sprites. Works correctly.
0x03AD62,0x03AF62,D-window init: clear 0x182 longwords from 0xD00170 (remapped to shadow),D,copy,init_only,Paired with 0x03AD50 in D-window init sequence.,NO,Shadow clear needed for correct sprite init.,VDP SAT,other,already_patched,not_needed,High,Remapped to shadow via window_rewrite_rule.
0x03ADFE,0x03AFFE,"Control: MOVE.W #0 to 0xC50000 (PC080SN display control register, disable)",C,control/state,init_only,Startup init path. Remapped to genesistan_shadow_reg_c50000 via window_rewrite_rule.,YES,Already NOPped. PC080SN display control not needed on Genesis.,none,register mirror,already_patched,not_needed,High,NOP'd. 0xC50000 is PC080SN display control register.
0x03AE06,0x03B006,D-window control: MOVE.W #1 to 0xD01BFE (PC090OJ enable — remapped to shadow),D,control/state,init_only,Startup init. Remapped to genesistan_shadow_reg_d01bfe via window_rewrite_rule for startup_common.,NO,Shadow read by render_frontend_sprite_layer() to determine flipscreen state (obj_ctrl & 0x0001).,none,register mirror,already_patched,not_needed,High,Goes to genesistan_shadow_reg_d01bfe. Read by render_frontend_sprite_layer() for flipscreen logic.
0x03AE16,0x03B016,"Control: MOVE.W #1 to 0xC50000 (PC080SN display control, enable)",C,control/state,init_only,"Startup init path, paired with 0x03ADFE.",YES,Already NOPped.,none,register mirror,already_patched,not_needed,High,NOP'd.
0x03AE1E,0x03B01E,D-window control: MOVE.W #0 to 0xD01BFE (PC090OJ disable — remapped to shadow),D,control/state,init_only,"Startup init, disables D-window after init.",NO,Shadow read by sprite renderer for flipscreen.,none,register mirror,already_patched,not_needed,High,Goes to genesistan_shadow_reg_d01bfe via window_rewrite_rule.
0x03AE86,0x03B086,"Control: MOVE.W #0 to 0xC50000 (PC080SN display control, init disable)",C,control/state,init_only,Called directly from genesistan_run_original_startup_common() in startup_trampoline.s.,YES,Already NOPped.,none,register mirror,already_patched,not_needed,High,NOP'd. Entry point of startup_common init sequence.
0x03AE8E,0x03B08E,D-window control: MOVE.W #0 to 0xD01BFE (PC090OJ disable in init path),D,control/state,init_only,In startup_common init path near 0x03AE86.,NO,Shadow read by sprite renderer.,none,register mirror,already_patched,not_needed,High,Goes to genesistan_shadow_reg_d01bfe.
0x03B1CC,0x03B3CC,"Status writer: MOVE.W D0,(A0) where A0 = 0xC09376+offset (PC080SN text/status area)",C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → text/status writer path → 0x03B1CC.,YES,Already NOPped. Text status writes silenced — text overlay not yet implemented on Genesis.,VDP nametable write,workram,already_patched,later_gameplay,High,NOP'd. Silencing status/score text. Needed eventually for HUD/score display during gameplay.
0x03B47A,0x03B67A,"C-window helper: MOVE.W #1,(A0)+ where A0=0xC0887C (sprite/tile data region)",C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → sprite-related helper → 0x03B47A.,YES,"Already NOPped. PC080SN sprite attribute data, not VDP nametable.",none,other,already_patched,not_needed,High,"NOP'd. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03B47E,0x03B67E,"C-window helper: MOVE.W #0x2744,(A0) where A0=0xC0887C",C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → sprite helper → 0x03B47E (paired with 0x03B47A).,YES,Already NOPped.,none,other,already_patched,not_needed,High,"NOP'd. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03B49A,0x03B69A,"C-window helper: MOVE.W #0x274B,(A0) where A0=0xC08D6E+offset",C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → sprite helper → 0x03B49A.,YES,Already NOPped.,none,other,already_patched,not_needed,High,"NOP'd. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03B572,0x03B772,"C-window helper: MOVE.W #0,(A0)+ where A0=0xC08D6C+offset",C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → animation helper → 0x03B572.,YES,Already NOPped.,none,other,already_patched,not_needed,High,"NOP'd. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03B5F6,0x03B7F6,"C-window helper: MOVE.W D0,(A0) where A0=0xC08D6E+offset",C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → animation helper → 0x03B5F6.,YES,Already NOPped.,none,other,already_patched,not_needed,High,"NOP'd. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x03BB48,0x03BD48,Table-driven C-window text writer dispatcher: writes tile words and attribute words to C-window nametable (text/HUD layer). Called from multiple state machine paths.,C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → state machine → BSR 0x03BB48 (called from 0x3B098 area and multiple text-drawing paths).,YES,"Internal write instructions NOPped (0x03BB66, 0x03BB68, 0x03BB74, 0x03BB76). Dispatcher code still runs but produces no output.",VDP nametable write,pointer table,partially_patched,required_now_frontend,High,"CRITICAL GAP: All text writes are silenced. Text overlay (coin msg, GAME OVER, credits, attract mode text) is missing from frontend. Needs opcode_replace of write instructions to emit VDP_setTileMapXY calls. A1 holds target C-window address, D2/D0 hold tile and attr words. [Build 142 repair: required_now because dispatcher remains active while write sites are silenced; must route live text path to Genesis nametable writes.]"
0x03BB66,0x03BD66,"Text writer 0x3BB48 normal-write path: MOVE.W D2,(A1)+ (tile word)",C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x03BB48 → 0x03BB66 (normal character write loop).,YES,Already NOPped. Must be replaced with VDP nametable write to restore text.,VDP nametable write,pointer table,already_patched,required_now_frontend,High,NOP'd. The key write site for text tile data in 0x3BB48 normal path.
0x03BB68,0x03BD68,"Text writer 0x3BB48 normal-write path: MOVE.W D0,(A1)+ (attr word)",C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x03BB48 → 0x03BB68 (paired attr write).,YES,Already NOPped.,VDP nametable write,pointer table,already_patched,required_now_frontend,High,NOP'd. Attribute word write paired with 0x03BB66.
0x03BB74,0x03BD74,"Text writer 0x3BB48 space-fill path: MOVE.W D2,(A1)+ (tile attr — inverted text path)",C,direct write,active_conditional_frontend,"genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x03BB48 → 0x03BB74 (space-fill / inverted render path, D1 holds space char).",YES,Already NOPped.,VDP nametable write,pointer table,already_patched,required_now_frontend,High,NOP'd. Space-fill path of 0x3BB48.
0x03BB76,0x03BD76,"Text writer 0x3BB48 space-fill path: MOVE.W D1,(A1)+ (space char 0x20)",C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x03BB48 → 0x03BB76.,YES,Already NOPped.,VDP nametable write,pointer table,already_patched,required_now_frontend,High,NOP'd.
0x03C3FE,0x03C5FE,Second C-window text writer: writes character tiles to C-window FG page (0xC08000 area),C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → state machine → text/score paths → 0x03C3FE. A1 = 0xC08000 + sub_table_offset.,YES,"Internal writes NOPped (0x03C42A, 0x03C446, 0x03C44A). Silenced.",VDP nametable write,pointer table,partially_patched,required_now_frontend,High,CRITICAL GAP: Second text writer for FG layer text (HUD/score). All writes silenced. Needs same treatment as 0x3BB48 — replace write instructions with VDP nametable writes to BG_A. [Build 142 repair: required_now because dispatcher remains active while write sites are silenced; must route live text path to Genesis nametable writes.]
0x03C42A,0x03C62A,"Text writer 0x3C3FE: MOVE.W D7,(A1) — fires first each iteration before char write",C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x03C3FE → 0x03C42A.,YES,Already NOPped.,VDP nametable write,pointer table,already_patched,required_now_frontend,High,NOP'd.
0x03C446,0x03C646,"Text writer 0x3C3FE: MOVE.W D1,(A1) — character tile write path",C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x03C3FE → 0x03C446.,YES,Already NOPped.,VDP nametable write,pointer table,already_patched,required_now_frontend,High,NOP'd.
0x03C44A,0x03C64A,"Text writer 0x3C3FE: MOVE.W #0x20,(A1) — space fill path",C,direct write,active_conditional_frontend,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → 0x03C3FE → 0x03C44A.,YES,Already NOPped.,VDP nametable write,pointer table,already_patched,required_now_frontend,High,NOP'd.
0x03D04C,0x03D24C,Sprite data: MOVE.W D1 to 0xC08C66 (PC080SN sprite data RAM),C,direct write,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → frontend state machine → sprite-related sub-routine → 0x03D04C.,YES,"Already NOPped (patcher used ROM-form bytes). PC080SN internal RAM, no Genesis mapping.",none,workram,already_patched,not_needed,Medium,"NOP'd. PC080SN sprite attribute RAM at 0xC08C66. [Build 142 repair: patched-out runtime path; retained for traceability, not a live rendering replacement target.]"
0x041DAE,0x041FAE,D-window object writer: writes sprite data from A5+0x508 to PC090OJ D00000 region (multiple blocks),D,copy,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → state machine → sprite dispatch → JSR 0x041DAE. Now RTS'd at entry.,YES,RTS'd at entry. render_frontend_sprite_layer() handles all sprite output via direct VDP SAT writes.,VDP SAT,workram,already_patched,not_needed,High,RTS'd (Build 139). Replaced by render_frontend_sprite_layer() which reads workram descriptor blocks and writes to Genesis VDP SAT directly.
0x041F4A,0x04214A,Sprite helper callsite: BSR 0x41F5E inside sprite dispatch helper 0x41F30.,D,staging,active_conditional_frontend,genesistan_run_original_frontend_tick -> frontend state paths -> helper 0x41F30 -> BSR 0x41F5E at 0x41F4A.,NO,Branch point in live sprite helper flow; replacement requires equivalent SAT descriptor handling.,VDP SAT,workram,partially_patched,required_now_frontend,Medium,Build 142 repair add: D-window-adjacent active helper callsite.
0x041F54,0x042154,Sprite helper conditional dispatch: BEQ 0x45DFA from helper after 0x41F5E.,D,control/state,active_conditional_frontend,genesistan_run_original_frontend_tick -> helper 0x41F30 -> 0x41F4A/0x41F54 conditional branch to 0x45DFA.,NO,Controls live branch between sprite writer variants.,VDP SAT,workram,unpatched,required_now_frontend,Medium,Build 142 repair add: missing active D-window branch control coverage.
0x041F58,0x042158,Sprite helper callsite: BSR 0x41DAE from helper (alternate sprite writer branch).,D,copy,active_conditional_frontend,genesistan_run_original_frontend_tick -> helper 0x41F30 -> BSR 0x41DAE at 0x41F58 when BEQ 0x45DFA not taken.,NO,Active branch in live sprite helper flow.,VDP SAT,workram,partially_patched,required_now_frontend,Medium,Build 142 repair add: missing active D-window callsite coverage.
0x041F5E,0x04215E,D-window sprite copy: copies sprite attrs from A5+0x11B2 (18 entries) and A5+0x0170 (4 entries) to D003C0 / D002E0,D,copy,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → state machine → sprite dispatch → JSR 0x041F5E. Now RTS'd at entry.,YES,"RTS'd at entry. render_frontend_sprite_layer() uses same workram blocks (A5+0x11B2, A5+0x0170) directly.",VDP SAT,workram,already_patched,not_needed,High,"RTS'd (Build 139). Workram blocks at A5+0x11B2, A5+0x0170 are the confirmed source for render_frontend_sprite_layer()."
0x041F7A,0x04217A,Sprite descriptor copy loop inside 0x41F5E: copies 4 words per descriptor from A0 blocks to D003C0/D002E0 targets.,D,staging,dead_or_retired,Reached from 0x41F5E body after LEA A5+0x11B2/A5+0x0170; currently unreachable in patched build because 0x41F5E entry RTS.,YES,Loop is unreachable with current entry RTS patch; retained as descriptor semantics reference.,VDP SAT,workram,already_patched,later_gameplay,High,Build 142 repair add: explicit descriptor staging loop coverage for sprite planning.
0x045DFA,0x045FFA,D-window alternate sprite writer: writes sprites from A5+0x5C8 / A5+0x748 to D00460 / D00170,D,copy,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → state machine → alternate sprite dispatch → JSR 0x045DFA. Now RTS'd at entry.,YES,RTS'd at entry. Sprites handled by render_frontend_sprite_layer().,VDP SAT,workram,already_patched,not_needed,High,RTS'd (Build 139). Frontend/title alternate sprite writer.
0x0503EC,0x0505EC,Pointer init: MOVE.L #0xC08000 to abs(0x10D0A0) — stores FG-page base into workram row-ptr slot,C,pointer init,init_only,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game init path (called from title init sequence) → 0x0503EC.,YES,Already NOPped. Tilemap rendering no longer uses these workram row pointers; hooks read ROM directly.,none,other,already_patched,not_needed,High,NOP'd. Part of broken workram row-ptr chain superseded by Build 140 direct ROM read.
0x0503F6,0x0505F6,Pointer init: MOVE.L #0xC00000 to abs(0x10D0F8) — stores BG-page base into workram row-ptr slot,C,pointer init,init_only,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game init path → 0x0503F6.,YES,Already NOPped.,none,other,already_patched,not_needed,High,NOP'd.
0x050400,0x050600,Pointer init: MOVE.L #0xC08000 to abs(0x10D0A4) — duplicate FG-page store,C,pointer init,init_only,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game init → 0x050400.,YES,Already NOPped.,none,other,already_patched,not_needed,High,NOP'd. Duplicate of 0x0503EC.
0x05040C,0x05060C,Pointer init: MOVE.L #0xC00000 to abs(0x10D0F8) — duplicate BG-page store,C,pointer init,init_only,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game init → 0x05040C.,YES,Already NOPped.,none,other,already_patched,not_needed,High,NOP'd. Duplicate of 0x0503F6.
0x050416,0x050616,Pointer init: MOVE.L #0xC08000 to abs(0x10D0A0) — 3rd duplicate FG-page store,C,pointer init,init_only,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game init → 0x050416.,YES,Already NOPped.,none,other,already_patched,not_needed,High,NOP'd.
0x050420,0x050620,"Pointer init: MOVE.L #0xC0BF00 into D0, MOVE.L D0 to abs(0x10D0A4) — advanced FG-page store",C,pointer init,init_only,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game init → 0x050420.,YES,Already NOPped.,none,other,already_patched,not_needed,High,NOP'd.
0x052858,0x052A58,"C-window base RTS: MOVEA.L #0xC08000,A0 — entry of routine that builds C-window row pointer",C,pointer init,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → game engine → routine at 0x052858 (would set A0 to C-window FG base). RTS'd at entry.,YES,RTS'd at entry. Tilemap reads ROM directly; row-ptr chain is retired.,none,other,already_patched,not_needed,High,RTS'd.
0x052974,0x052B74,"C-window base RTS: second MOVEA.L #0xC08000,A0 entry (alternate path)",C,pointer init,dead_or_retired,genesistan_run_original_frontend_tick() [startup_trampoline.s] → JMP 0x03A208 (arcade 0x03A008) → arcade frontend state machine → alternate game engine path → 0x052974. RTS'd.,YES,RTS'd.,none,other,already_patched,not_needed,High,RTS'd.
